,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
Children,0.029036824448517965,0.2465404428685825,-0.10021013611043775,0.46824784021810856,0.5861022378508807,0.059066368341728646
Age,0.00117866831106022,0.04920332217825166,0.19320825965544042,0.6881927334162323,-0.29734878527939257,0.5178357297540047
Income,0.04927708439675407,0.18993877652774968,-0.5612476537636546,0.29410326352694316,-0.4353717896916381,-0.19924358577187526
Outage_sec_perweek,0.0625022167833128,0.7013851217968137,0.047129944512425755,-0.25329996291763573,-0.23355519484806034,-0.1220854608704439
Email,-0.05903188204208881,0.11853565830856513,0.6574864885151719,0.05132337893027183,0.24025053334041385,-0.13953110994435888
Contacts,0.008007970115603093,0.02647783046564998,0.5151191496176726,0.23037510462496846,-0.45287783901451023,-0.41706327986892483
Yearly_equip_failure,-0.03290013033400371,0.39628199516746826,-0.1408157616798794,0.29411279270920654,0.29186316835374354,-0.4815403419798773
Tenure,0.9963483135776625,-0.03917101196947708,0.03356368205050361,0.008670419063888487,0.008314227779139295,-0.010068052214758396
MonthlyCharge,0.002606193862057436,0.6496910019546958,0.08368042584509842,-0.240011237579643,-0.023174550142325792,0.4639986721678654
Bandwidth_GB_Year,0.9968440663753599,-0.0032669807530264347,0.02386383409176721,-0.010252693955165409,0.038693552095129834,0.0032157699558238045
